method,label,seeds,split,acc,acc_std,rr,rr_std,arc,arc_std,lac,lac_std,tvc,tvc_std,p50_ms,p50_ms_std,p95_ms,p95_ms_std,mean_tokens,mean_tokens_std,invalid_law_citation_rate,invalid_law_citation_rate_std,n,n_std
neverrag,Never-RAG（不检索）,1,test,0.5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2396,0.0,1577.9,0.0,2238.2,0.0,200.9,0.0,0.0932,0.0,944.0,0.0
alwaysrag,Always-RAG（恒检索）,1,test,0.5551,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333,0.0,1581.0,0.0,2244.1,0.0,211.8,0.0,0.0985,0.0,944.0,0.0
targ,TARG（单全局τ）,1,test,0.5201,0.0,0.3051,0.0,0.3051,0.0,0.3051,0.0,0.3438,0.0,6513.2,0.0,8397.1,0.0,206.0,0.0,0.0869,0.0,944.0,0.0
complexity,Complexity（启发式）,1,test,0.5636,0.0,0.8591,0.0,0.8591,0.0,0.8591,0.0,0.3958,0.0,164.0,0.0,224.4,0.0,211.8,0.0,0.0922,0.0,944.0,0.0
legal_llm,Legal-LLM*（法律人设代理）,1,test,0.5371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542,0.0,1589.5,0.0,2133.6,0.0,221.8,0.0,0.09,0.0,944.0,0.0
legalgate,CA-LegalGate（本项目）,1,test,0.6144,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.9375,0.0,9.3,0.0,192.8,0.0,338.8,0.0,0.0042,0.0,944.0,0.0
